# NOTES:
# The # Symbol at the start of a line counts as a Comment. To include in dialog, use a \#
# The . Symbol will cause a pause unless escaped with \. (ex: Mr. Oshiro has a pause, Mr\. Oshiro does not)
# Newlines automatically create a Page Break, unless there is an {n} command on the previous line
# Commands: Anything inside of curly braces {...} is a command and should not be translated.

# Inline Text Commands:
# {~}wavy text{/~}
# {!}impact text{/!}
# {>> x}changes speed at which characters are displayed{>>}
# {# 000000}this text is black{#} (uses HEX color values)
# {+MENU_BEGIN} inserts the dialog from the MENU_BEGIN value (in English, "CLIMB")
# {n} creates a newline, without a page break
# {0.5} creates a 0.5 second pause
# {big}this text is large{/big}

# Gameplay Control Commands (should never change)
# {trigger x} this triggers an in-game event
# {anchor} controls the visual position of the textbox in-game

# Language (id,label)
	LANGUAGE=korean,한국어
	ICON=Icons/korean.png
	ORDER=80

# Font (Face, Base Size)
# Use BMFONT to generate the .fnt and image files
	FONT=RenogareKR,62

# Done loading Meta Data
	BEGIN=true

# Auto-Saving
	AUTOSAVING_TITLE_NS=
		이 게임은 자동 저장 기능을 지원합니다.
	AUTOSAVING_DESC_NS=
		이 아이콘이 표시되면
		콘솔 전원을 끄지 마세요.
	AUTOSAVING_TITLE_PS4=
		이 게임은 자동 저장 기능을 지원합니다.
	AUTOSAVING_DESC_PS4=
		이 아이콘이 표시되면
		콘솔 전원을 끄지 마세요.
	AUTOSAVING_TITLE_XB1=
		이 게임은 자동 저장 기능을 지원합니다.
	AUTOSAVING_DESC_XB1=
		이 아이콘이 표시되면
		콘솔 전원을 끄지 마세요.
	AUTOSAVING_TITLE_PC=
		이 게임은 자동 저장 기능을 지원합니다.
	AUTOSAVING_DESC_PC=
		이 아이콘이 표시되면
		컴퓨터 전원을 끄지 마세요.

# Main Menu
	MENU_DEBUG=		~디버그~
	KEY_CONFIG_MENU_NOTICE= 모든 동작은 1개의 고유한 키 설정이 있어야 합니다.

# PICO-8
	PICO8_UNLOCKED=			이제 메인 메뉴에서{n}플레이할 수 있습니다.
	PICO8_PAUSE_TITLE=		일시 정지
	PICO8_PAUSE_CONTINUE=	계속하기
	PICO8_PAUSE_RESTART=	PICO-8 리셋
	PICO8_PAUSE_QUIT=		PICO-8 종료

# FILE MENU
	FILE_DEFAULT=		매들린
	FILE_CORRUPTED=		데이터가 손상되었습니다 :(
	FILE_FAILEDTOLOAD=	데이터를 불러오지 못했습니다.
	FILE_NEWGAME=		새 게임 시작!
	FILE_CONTINUE=		게임 시작
	FILE_DELETE=		데이터 삭제
	FILE_BEGIN=			시작
	FILE_ASSIST_OFF=	어시스트 모드 : OFF
	FILE_ASSIST_ON=		어시스트 모드 : ON
	FILE_VARIANT_OFF=	변형 모드 : OFF
	FILE_VARIANT_ON=	변형 모드 : ON
	FILE_RENAME=		이름 변경하기
	FILE_DELETE_REALLY=	정말 삭제하시겠습니까?
	FILE_DELETE_NO=		취소
	FILE_DELETE_YES=	삭제
	FILE_DELETE_FAILED=	데이터를 삭제하지 못했습니다!

# Assist Mode
	ASSIST_MODE_0=
		{# 44ADF7}어시스트 모드{#}를 사용하면{n}
		플레이어가 원하는 대로 게임 규칙을 조정해{n}게임의 난이도를 낮출 수 있습니다.	
	ASSIST_MODE_1=
		여기에는 게임 속도 줄이기,{n}
		무적, 무한 스태미나,{n}
		챕터 건너뛰기 옵션이 포함됩니다.
	ASSIST_MODE_2=
		셀레스트는 어려우면서도 성취감 있는 경험을 할 수 있도록 제작된 게임입니다.{n}
		기본 난이도가 지나치게 어렵다면 {# 44ADF7}어시스트 모드{#}를 통해{n}
		같은 경험을 하실 수 있으셨으면 좋겠습니다.
	ASSIST_ASK=		{# 44ADF7}어시스트 모드{#}를 사용하여 게임을 진행하시겠습니까?
	ASSIST_YES=		예
	ASSIST_NO=		아니요
	ASSIST_SKIP=	챕터{n}건너뛰기

# File Naming
	NAME_LETTERS=
		ABCDEFGHI abcdefghi
		JKLMNOPQR jklmnopqr
		STUVWXYZ  stuvwxyz
		1234567890+=:~!@$%
		^&*_-#"'()<>/\.,|`

	NAME_SPACE=			띄어쓰기
	NAME_BACKSPACE=		지우기
	NAME_ACCEPT=		결정
	NAME_BACK=			취소

# Xbox One Stuff
	XB1_MENU_SWITCH_PROFILE=	프로필 변경
	XB1_SIGN_OUT_MESSAGE=		로그인된 프로필이 변경되었습니다. 다시 로그인하거나 타이틀 화면으로 나가세요.
	XB1_SIGN_IN=				로그인
	XB1_RECONNECT_CONTROLLER=	계속하려면 컨트롤러를 다시 연결해주세요.

# Intro Vignette
	INTRO_VIGNETTE_RESUME=	계속
	INTRO_VIGNETTE_SKIP=	건너뛰기
	INTRO_VIGNETTE_QUIT=	종료

# Overworld
	OVERWORLD_START=			시작
	OVERWORLD_NORMAL=			오르기
	OVERWORLD_INTERLUDE=		시작
	OVERWORLD_REMIX=			B-사이드
	OVERWORLD_REMIX2=			C-사이드
	OVERWORLD_REMIX_UNLOCKED=	B-사이드가 해금되었습니다!
	OVERWORLD_REMIX_UNLOCKED2=	C-사이드가 해금되었습니다!

# Chapter Titles
	AREA_CHAPTER=	챕터 {x}
	AREA_0=			프롤로그
	AREA_1=			버림받은 도시
	AREA_2=			오래된 유적
	AREA_3=			셀레스티얼 리조트
	AREA_4=			황금 산마루
	AREA_5=			거울 신전
	AREA_6=			반영
	AREA_7=			정상
	AREA_8=			에필로그
	AREA_9=			중심
	AREA_10=		작별

# Checkpoints
	CHECKPOINT_1_0=		교차로
	CHECKPOINT_1_1=		협곡

	CHECKPOINT_2_0=		개입
	CHECKPOINT_2_1=		깨어남

	CHECKPOINT_3_0=		엉망진창
	CHECKPOINT_3_1=		엘리베이터 통로
	CHECKPOINT_3_2=		프레지덴셜 스위트룸

	CHECKPOINT_4_0=		성소
	CHECKPOINT_4_1=		오래된 등산로
	CHECKPOINT_4_2=		절벽

	CHECKPOINT_5_0=		심연
	CHECKPOINT_5_1=		붕괴
	CHECKPOINT_5_2=		탐색
	CHECKPOINT_5_3=		구출

	CHECKPOINT_6_0=		호수
	CHECKPOINT_6_1=		골짜기
	CHECKPOINT_6_2=		반영
	CHECKPOINT_6_3=		밑바닥
	CHECKPOINT_6_4=		화해

	CHECKPOINT_7_0=		500 M
	CHECKPOINT_7_1=		1000 M
	CHECKPOINT_7_2=		1500 M
	CHECKPOINT_7_3=		2000 M
	CHECKPOINT_7_4=		2500 M
	CHECKPOINT_7_5=		3000 M

	CHECKPOINT_8_0=		중심 안으로
	CHECKPOINT_8_1=		뜨거움과 차가움
	CHECKPOINT_8_2=		산의 심장

	CHECKPOINT_9_0=		특이점
	CHECKPOINT_9_1=		전원 장치
	CHECKPOINT_9_2=		추억
	CHECKPOINT_9_3=		사건의 지평선
	CHECKPOINT_9_4=		결단
	CHECKPOINT_9_5=		고집
	CHECKPOINT_9_6=		화해
	CHECKPOINT_9_7=		작별

# B-Side Checkpoints
	CHECKPOINT_1H_0=	기계 장치
	CHECKPOINT_1H_1=	고물 채취장

	CHECKPOINT_2H_0=	다이얼 자물쇠
	CHECKPOINT_2H_1=	꿈의 제단

	CHECKPOINT_3H_0=	직원 숙소
	CHECKPOINT_3H_1=	도서관
	CHECKPOINT_3H_2=	지붕

	CHECKPOINT_4H_0=	디딤돌
	CHECKPOINT_4H_1=	돌풍이 부는 협곡
	CHECKPOINT_4H_2=	폭풍의 눈

	CHECKPOINT_5H_0=	신전의 중심
	CHECKPOINT_5H_1=	거울 너머
	CHECKPOINT_5H_2=	믹스 마스터

	CHECKPOINT_6H_0=	반영
	CHECKPOINT_6H_1=	밑바닥
	CHECKPOINT_6H_2=	구원

	CHECKPOINT_7H_0=	500 M
	CHECKPOINT_7H_1=	1000 M
	CHECKPOINT_7H_2=	1500 M
	CHECKPOINT_7H_3=	2000 M
	CHECKPOINT_7H_4=	2500 M
	CHECKPOINT_7H_5=	3000 M

	CHECKPOINT_8H_0=	중심 안으로
	CHECKPOINT_8H_1=	불타거나 얼어붙거나
	CHECKPOINT_8H_2=	심장 박동

# Postcards
	POSTCARD_AREA_1=
		언제든지 일시 정지 메뉴에서{n}{# FF1144}저장하고 종료하기{#}를{n}선택해 휴식을 취할 수 있어.{n}게임을 저장한 곳에서 다시 시작하고{n}진행 상황을 잃지 않아!

	POSTCARD_AREA_2=
		{# FF1144}딸기{#}는 친구들을 놀라게 하지만,{n}그 외에 특별한 건 없어.{n}정말로 원할 때만 수집하도록 해!

	POSTCARD_AREA_3=
		{# FF1144}죽은 횟수{#}를 자랑스럽게 생각해!{n}더 많이 죽을수록, 더 많이 배우는 거니까.{n}계속 나아가자!

	POSTCARD_AREA_4=
		{# F94A4A}등산 팁!{#}{n}긴박한 순간에 스태미나가 부족하니?{n}{n}벽의 반대편을 향해 뛰는 건{n}스태미나를 소모하지 않아!

	POSTCARD_AREA_5=
		{# F94A4A}알고 있었니?{#}{n}대부분의 등산 사고는 탈진 때문에 발생해.{n}{n}규칙적으로 쉬는 걸 잊지 마!

	POSTCARD_AREA_6=
		{# F94A4A}알고 있었니?{#}{n}{n}자신의 반영에게서 도망칠 수는 없어.

	POSTCARD_CSIDES=
		진정한 도전을 맞이할 준비가 되었니?{n}{n}{# F94A4A}C-사이드{#}가 해금되었고,{n}{# DBB63F}황금 딸기{#}가 모든 챕터의{n}시작 지점에서 나타났어!{n}{n}행운을 빌어, {+MADELINE}!

	POSTCARD_VARIANTS=
		와, 해냈구나!{n}{n}이제 파일 선택 메뉴에서{n}{# 9B3FB5}변형 모드{#}를 선택할 수 있어!

# Journal
	JOURNAL_OF=
	JOURNAL_PROGRESS=				챕터 진행도
	JOURNAL_SPEEDRUNS=				기록:{n}스피드런 기록
	JOURNAL_DASHES=					기록:{n}대시한 횟수 (최소)
	JOURNAL_DEATHS=					기록:{n}최소 죽은 횟수
	JOURNAL_POEM=					크리스탈 하트
	JOURNAL_MODE_NORMAL=			클리어
	JOURNAL_MODE_NORMAL_FULLCLEAR=	완전 클리어
	JOURNAL_MODE_BSIDE=				B-사이드
	JOURNAL_MODE_CSIDE=				C-사이드
	JOURNAL_TOTALS=					합계
	JOURNAL_GRANDTOTAL=				총합

# Stats
	STATS_TITLE=			글로벌 Steam 통계
	STAT_BERRIES=			모은 딸기 개수
	STAT_DEATHS=			죽은 횟수
	STAT_DASHES=			대시한 횟수
	STAT_GOLDBERRIES=		모은 황금 딸기 개수
	STAT_PICO_BERRIES=		PICO-8에서 모은 딸기 개수
	STAT_PICO_DEATHS=		PICO-8에서 죽은 횟수
	STAT_PICO_COMPLETES=	PICO-8를 클리어한 유저 수

# Saving / Loading Failed
	SAVEFAILED_TITLE=	저장할 수 없습니다.
	SAVEFAILED_RETRY=	다시 시도하세요.
	SAVEFAILED_IGNORE=	저장하지 않고 계속하기
	LOADFAILED_TITLE=	불러올 수 없습니다.
	LOADFAILED_GOBACK=	뒤로 돌아가기
	LOADFAILED_IGNORE=	저장하지 않고 계속하기

# Tutorial
	TUTORIAL_CLIMB=		오르기
	TUTORIAL_HOLD=		길게 누르기
	TUTORIAL_DASH=		대시
	TUTORIAL_DREAMJUMP=	점프
	TUTORIAL_CARRY=		운반하기

# Area Complete
	AREACOMPLETE_NORMAL=				챕터 클리어
	AREACOMPLETE_NORMAL_FULLCLEAR=		챕터 완전 클리어
	AREACOMPLETE_BSIDE=					B-사이드 클리어
	AREACOMPLETE_CSIDE=					C-사이드 클리어
	MOUNTAIN_COMPLETE_NORMAL=			클리어
	MOUNTAIN_COMPLETE_NORMAL_FULLCLEAR=	완전 클리어
	MOUNTAIN_COMPLETE_BSIDE=			B-사이드 클리어
	MOUNTAIN_COMPLETE_CSIDE=			C-사이드 클리어

# Game Paused
	MENU_PAUSE_TITLE=			일시 정지
	MENU_PAUSE_RESUME=			계속하기
	MENU_PAUSE_SKIP_CUTSCENE=	컷씬 건너뛰기
	MENU_PAUSE_RETRY=			다시 시도하기
	MENU_PAUSE_ASSIST=			어시스트 모드
	MENU_PAUSE_VARIANT=			변형 모드
	MENU_PAUSE_OPTIONS=			옵션
	MENU_PAUSE_RESTARTAREA=		챕터 다시 시작하기
	MENU_PAUSE_SAVEQUIT=		저장하고 종료하기
	MENU_PAUSE_RETURN=			챕터 선택 화면으로 돌아가기
	MENU_PAUSE_RESTARTDEMO=		데모 재시작
	MENU_RETURN_TITLE=			챕터 선택 화면으로 돌아갈까요?
	MENU_RETURN_CONTINUE=		예
	MENU_RETURN_CANCEL=			아니요
	MENU_RETURN_INFO=			챕터 선택 화면으로 돌아가면 진행 상황이 저장되지만,{n}
								마지막 체크포인트부터 다시 시작해야 합니다.
	MENU_RESTART_TITLE=			챕터를 다시 시작할까요?
	MENU_RESTART_CONTINUE=		예
	MENU_RESTART_CANCEL=		아니요

# Assist UI
	MENU_ASSIST_TITLE=					어시스트 모드
	MENU_ASSIST_SUBTITLE=				어시스트 목록
	MENU_ASSIST_GAMESPEED=				게임 속도
	MENU_ASSIST_INVINCIBLE=				무적
	MENU_ASSIST_AIR_DASHES=				대시 횟수
	MENU_ASSIST_DASH_ASSIST=			대시 어시스트
	MENU_ASSIST_AIR_DASHES_NORMAL=		1단 대시
	MENU_ASSIST_AIR_DASHES_TWO=			2단 대시
	MENU_ASSIST_AIR_DASHES_INFINITE=	무한 대시
	MENU_ASSIST_INFINITE_STAMINA=		무한 스태미나

# Variant UI
	MENU_VARIANT_TITLE=					변형 모드
	MENU_VARIANT_SUBTITLE=				변형 목록
	MENU_VARIANT_MIRROR=				미러 모드
	MENU_VARIANT_360DASHING=			360도 대시
	MENU_VARIANT_INVISMOTION=			이동 모션 투명화
	MENU_VARIANT_PLAYASBADELINE=		나의 반영으로 플레이
	MENU_VARIANT_NOGRABBING=			잡기 비활성화
	MENU_VARIANT_LOWFRICTION=			마찰력 감소
	MENU_VARIANT_SUPERDASHING=			슈퍼 대시
	MENU_VARIANT_HICCUPS=				딸꾹질

# Misc UI
	UI_CUTSCENE_SKIP=	건너뛰기
	UI_REMIX_UNLOCKED=	B-사이드 해금 완료
	UI_CANCEL=			뒤로
	UI_CONFIRM=			확인
	UI_QUICK_RESTART_TITLE=빠른 재시작:
	UI_QUICK_RESTART_HOLD=길게 누르기
	UI_QUICK_RESTART_PRESS=누르기

# B SIDES
	REMIX_BY=			작곡: 
	REMIX_ALBUM=		셀레스트 B-사이드

	AREA_1_REMIX=		(지평선을 가르며 믹스)
	AREA_2_REMIX=		(검은빛 달오름 믹스)
	AREA_3_REMIX=		(선행 믹스)
	AREA_4_REMIX=		(황금 깃털 믹스)
	AREA_5_REMIX=		(거울의 마법 믹스)
	AREA_6_REMIX=		(지구의 중심 믹스)
	AREA_7_REMIX=		(다신 도망치지 않아 믹스)
	AREA_9_REMIX=		(작별 인사 믹스)

# Credits
	CREDITS_THANKYOU=	플레이해 주셔서 감사합니다 :)

# Names
	THEO=				{# FF9523}테오{#}
	THEO_UNDER_STARS=	{# FFFF4C}TheoUnderStars{#}
	INSTAPIX=			{# FFFF4C}InstaPix{#}
	MIXMASTER_THEO=		{# FF9523}믹스 마스터 테오{#}
	MROSHIRO=			{# 7BD838}오시로 씨{#}
	OSHIRO=				{# 7BD838}오시로{#}
	ELCREEPO=			{# 7BD838}괴짜 아저씨{#}
	MADELINE=			{# F94A4A}{savedata Name}{#}
	MS_MADELINE=		{# F94A4A}{savedata Name} 양{#}
	THOUGHT=			{# 696A6A}{~}(
	ENDTHOUGHT=			){/~}{#}
	MOUNTAIN=			{# 96EFFF}산{#}
	CELESTE_MOUNTAIN=	{# 96EFFF}셀레스트 산{#}
	PART_OF_ME=			{# D678DB}{~}나의 일부{/~}{#}
	PART_OF_YOU=		{# D678DB}{~}너의 일부{/~}{#}
	PART_OF_ME_HONORIFIC=	{# D678DB}{~}저의 일부{/~}{#}
	PART_OF_YOU_HONORIFIC=	{# D678DB}{~}당신의 일부{/~}{#}
	ST_BAD=				{# D678DB}{~}
	END_BAD=			{/~}{#}
	GRANNY=				{# 66EA3A}할머니{#}
	PART_OF_GRANNY=		{# 66EA3A}{~}할머니의 일부{/~}{#}

# Theo sister name
# if the player name is the same as this one, theo's sister name becomes the ALT_NAME
	THEO_SISTER_NAME=		알렉스
	THEO_SISTER_ALT_NAME=	매디
	ALEX=					{# F94A4A}{savedata TheoSisterName}{#}

# ================================== IN-GAME DIALOG BEGINS HERE! ==================================

# *** Prologue ***

	CH0_INTRO=
		이제 시작이야, {+MADELINE}.
		심호흡하자.
		뭘 그리 긴장하는 거야?

	CH0_GRANNY=
		{anchor top}

		[MADELINE left normal]
		실례합니다, 부인?

		{trigger 0 Madeline walks forward}

		[MADELINE left normal]
		앞에 표지판이 부서졌는데...{n}여기가 {+MOUNTAIN} 정상으로 가는 길 맞나요?

		[GRANNY right normal]
		거의 다 왔어. 저 다리만 건너면 돼.

		{trigger 1 Madeline walks to the right of the house, turns left}
		
		[MADELINE right sad]
		그나저나, 진입로 손보게 사람 좀 불러야겠는데요.{n}길이 무너지는 바람에 죽을 뻔했다구요.

		{trigger 2 Granny laughs}

		[GRANNY left laugh]
		고작 {>> .3}"진입로"{>>}{.2}에서 죽을 뻔했다면, {+MOUNTAIN}은 네게 좀 힘들지도 모르겠구나.
		
		{trigger 3 Laugh Continues}

		[MADELINE right upset]
		{.5}...{.2}

		[MADELINE right angry]
		뭐, 당신 같은 {~}할망구{/~}가 여기서 살 수 있다면, 나도 괜찮겠죠.

		{trigger 4 Stop laughing}

		[GRANNY left normal]
		마음대로 생각하거라.

		{silent_trigger 5 Ominous zoom-in}

		[GRANNY left normal]
		하지만 말이야, {+CELESTE_MOUNTAIN}은 이상한 곳이란다.

		[GRANNY left creepA]
		보게 될지도 몰라.

		[GRANNY left creepB]
		볼 준비가 되지 않은 것들을 말이야.

		{trigger 6 pan to Maddy}

		[MADELINE right upset]
		병원이나 가보세요, 할매.

		{trigger 3 resume laughing}

	CH0_END=
		넌 할 수 있어.

# *** Chapter 01 ***

	CH1_THEO_A=
		[THEO left normal]
		안녕하신가, 여행자 친구!

		[MADELINE right distracted]
		어... 안녕.

		{trigger 0 Madeline approaches}
		
		[THEO left normal]
		등산하기 끝내주는 밤이지!

		[MADELINE right distracted]
		그럴지도.

		[THEO left normal]
		여기 진짜 미쳤다.

		[THEO left excited]
		이런 곳이 존재한다는 거 자체가 믿기지 않을 정도야!

		[MADELINE right sad]
		올라오는 게 쉬운 일이 아니야, 그렇지?

		[MADELINE right distracted]
		어쩌면 그런 거야말로 내가 찾던 것일 수도 있겠지만...
		
		[THEO left normal]
		워, 꽤 심각한가 보네.
		난 그냥 이런 쓸쓸한 곳에서, 다른 사람을 본 것만으로도 기쁜데 말이야.

		[THEO left excited]
		아무튼, 내 이름은 {+THEO}야. {>> .3}{~}머나먼 나라{/~}{>>}에서 온 모험가지!
		
		[MADELINE right sad]
		...{.2}

		[THEO left thinking]
		흠, 말이 많은 편은 아니구나?

		[THEO left normal]
		비밀에 둘러싸인 외톨이 늑대 같은 타입이라, 알겠어.{n}너의 어두운 과거에 대해서는 내가 알아서 상상할게.

	CH1_THEO_B=
		[MADELINE right sad]
		아, 미안. 난 {+MADELINE}(이)야.
		잠시 생각이 복잡해서...

		[THEO left normal]
		그렇다면, {+MADELINE}, 네게 딱 좋은 장소에 온 거네!

		[THEO left thinking]
		발가락이 얼어붙고 있긴 하지만,{n}조용히 생각에 잠기기에는 여기보다 더 좋은 곳은 없으니까.
		
		[MADELINE right sad]
		그래, 네 말이 맞을지도 몰라.

		[MADELINE right normal]
		네가 말한 "{>> .5}{~}머나먼 나라{/~}{>>}"는 어디를 말하는 거야?
		
		[THEO left excited]
		아, 탐구심 넘치는 동포여.{n}소인의 출신지는, {.3}{~}신비롭고,{.4} 이국적인{/~}{.4} 왕국인...
		
		[THEO left normal]
		{.4}시애틀이야.

		[MADELINE right normal]
		특별한 곳인 거 같네!

	CH1_THEO_C=
		[THEO left excited]
		여기 장난 아닌데!

		[THEO left normal]
		이렇게 큰 도시가 왜 통째로 버려졌을까?
		
		[MADELINE right normal]
		어떤 대기업이 이 도시를 지었었는데, 여기서 살고 싶다는 사람이 단 한 명도 없었대.

		[MADELINE right distracted]
		왜 사람들은 이 도시에 살고 싶지 않아 했을까...
		
		[THEO left excited]
		정부의 음모가 있었다에 한 표 걸게.

		[MADELINE right distracted]
		정말 아까워, 기껏 지은 도시가 아무짝에도 쓸모가 없어지다니...

		[THEO left normal]
		하지만 적어도 우린 그 잔해 위에서 탐험을 즐길 수 있잖아.

	CH1_THEO_D=
		[MADELINE right normal]
		넌 이 도시를 탐험하려고 여기까지 온 거야?
		
		[THEO left normal]
		맞아, 버려진 장소에 관심이 많거든.
		
		[THEO left thinking]
		그리고 최근에 사진작가로 데뷔해서 사진도 좀 찍으려고.
		
		[MADELINE right normal]
		아, 정말? 멋지다!
		혹시 블로그 같은 거 있어?
		
		[THEO left thinking]
		블로그?
		{+MADELINE}.
		요즘은 다들 {+INSTAPIX}를 쓴다고.
		
		[THEO left excited]
		내 아이디는 {+THEO_UNDER_STARS}야, 검색해 봐!

	CH1_THEO_E=
		[THEO left normal]
		여기 지형이 꽤 험난해 보이는데, 곧 돌아갈 거야?
		
		[MADELINE right normal]
		아니, 난 정상에 올라갈 거야.
		
		[THEO left excited]
		네 눈에서 확고한 의지가 보이는데!

		[THEO left normal]
		그 의지가 나한테까지 전해지는걸.

		[MADELINE right distracted]
		그래...?

		[MADELINE right normal]
		너도 분명 정상에 올라갈 수 있을 거야.

		[THEO left normal]
		어쩌면 그럴 수도 있겠지.
		
		[THEO left thinking]
		솔직히 말하면, 정상에 오르는 건 관심 없거든.

		[THEO left normal]
		{!}아!{/!} 근데 도시 너머에 {~}진짜{/~} 오래된 유적이 있다고 들었어.
		
		[THEO left excited]
		19세기에 지어졌다던데.

		[THEO left normal]
		가는 길이 위험하다는 건 알지만, 내 눈으로 직접 그 유적을 봐야겠어.

	CH1_THEO_F=
		[THEO left normal]
		무책임한 짓을 하기 전에 하는 말이 뭔지 알아?

		[MADELINE right sad]
		음... "죽기밖에 더 하겠어?"

		[THEO left wtf]
		아냐, 틀렸어.

		[THEO left excited]
		그게 뭐냐면...

		{trigger 0 Theo pumps his fist in the air}
		
		[THEO left yolo]
		{big}{~}Y{>> .5}OLO{>> .2}OOOOOOOO!!{>>}{/~}{/big}

	MEMORIAL=
		-- 셀레스트 산 --
